beneficiaire_action_menee;action_representation_interet_id;action_menee_en_propre
MUTUELLE GENERALE EDUCATION NATIONALE;0;1
MUTUELLE GENERALE EDUCATION NATIONALE;1;1
MUTUELLE GENERALE EDUCATION NATIONALE;2;1
MUTUELLE GENERALE EDUCATION NATIONALE;3;1
MUTUELLE GENERALE EDUCATION NATIONALE;4;1
MUTUELLE GENERALE EDUCATION NATIONALE;5;1
MUTUELLE GENERALE EDUCATION NATIONALE;6;1
MUTUELLE GENERALE EDUCATION NATIONALE;7;1
MUTUELLE GENERALE EDUCATION NATIONALE;8;1
MUTUELLE GENERALE EDUCATION NATIONALE;9;1
MUTUELLE GENERALE EDUCATION NATIONALE;10;1
MUTUELLE GENERALE EDUCATION NATIONALE;11;1
MUTUELLE GENERALE EDUCATION NATIONALE;12;1
MUTUELLE GENERALE EDUCATION NATIONALE;13;1
CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PAYS DE LA LOIRE;14;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;15;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;16;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;17;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;18;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;19;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;20;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;21;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;22;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;23;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;24;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;25;1
CHAMBRE DE METIERS ET DE L'ARTISANAT;26;1
SPORSORA;27;1
SPORSORA;28;1
SPORSORA;29;1
FEDERATION ARTISAN CHAUSSURE;30;1
FEDERATION ARTISAN CHAUSSURE;31;1
FEDERATION ARTISAN CHAUSSURE;32;1
FEDERATION ARTISAN CHAUSSURE;33;1
CTRE ENTRAINEM METHODE EDUCATION ACTIVE;34;1
CTRE ENTRAINEM METHODE EDUCATION ACTIVE;35;1
CTRE ENTRAINEM METHODE EDUCATION ACTIVE;36;1
CTRE ENTRAINEM METHODE EDUCATION ACTIVE;37;1
CTRE ENTRAINEM METHODE EDUCATION ACTIVE;38;1
SPORT ET CITOYENNETE '3S';39;1
SPORT ET CITOYENNETE '3S';40;1
FEDER BATIMENT REGION BOURGOGN;41;1
FEDER BATIMENT REGION BOURGOGN;42;1
FEDER BATIMENT REGION BOURGOGN;43;1
FEDER BATIMENT REGION BOURGOGN;44;1
FEDER BATIMENT REGION BOURGOGN;45;1
FEDER BATIMENT REGION BOURGOGN;46;1
FEDER BATIMENT REGION BOURGOGN;47;1
ASSOCIATION HOPITAL FOCH;48;1
ASSOCIATION HOPITAL FOCH;49;1
ASSOCIATION HOPITAL FOCH;50;1
KASPERSKY LAB FRANCE;51;1
KASPERSKY LAB FRANCE;52;1
KASPERSKY LAB FRANCE;53;1
VATTENFALL EOLIEN;54;1
VATTENFALL EOLIEN;55;1
VATTENFALL EOLIEN;56;1
VATTENFALL EOLIEN;57;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;58;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;59;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;60;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;61;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;62;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;63;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;64;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;65;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;66;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;67;1
SYND PROF PROP EXPL PLATE FORME ELIM DEC;68;1
BOISSONS RAFRAICHISSANTES DE FRANCE;69;0
ECO EMBALLAGES SA;70;0
INNOVATION LOGEMENT OUTREMER (ILOM);71;0
CHBR SYND INDUS DESINFECTION DESIN DERAT;72;0
ASS COORDINAT TECHNIQ AGRICOLE;73;0
GROUP NAT INTERPRO SEMEN PLANT;74;0
UNION FRANCAISE DES SEMENCIERS;74;0
UNION INDUS PROTECT PLANT UIPP;74;0
ASS GENERALE DES PRODUCTEURS DE MAIS;74;0
CHBR SYND INDUS DESINFECTION DESIN DERAT;75;0
BOISSONS RAFRAICHISSANTES DE FRANCE;76;0
AIDES;77;1
AIDES;78;1
AIDES;79;1
AIDES;80;1
AIDES;81;1
AIDES;82;1
AIDES;83;1
AIDES;84;1
AIDES;85;1
AIDES;86;1
AIDES;87;1
AIDES;88;1
AIDES;89;1
AIDES;90;1
AIDES;91;1
AIDES;92;1
AIDES;93;1
AIDES;94;1
AIDES;95;1
AIDES;96;1
AIDES;97;1
AIDES;98;1
AIDES;99;1
AIDES;100;1
AIDES;101;1
AIDES;102;1
AIDES;103;1
AIDES;104;1
AIDES;105;1
AIDES;106;1
AIDES;107;1
AIDES;108;1
AIDES;109;1
AIDES;110;1
AIDES;111;1
AIDES;112;1
AIDES;113;1
AIDES;114;1
AIDES;115;1
AIDES;116;1
AIDES;117;1
AIDES;118;1
AIDES;119;1
AIDES;120;1
AIDES;121;1
AIDES;122;1
AIDES;123;1
AIDES;124;1
AIDES;125;1
AIDES;126;1
AIDES;127;1
AIDES;128;1
AIDES;129;1
AIDES;130;1
AIDES;131;1
AIDES;132;1
AIDES;133;1
AIDES;134;1
AIDES;135;1
AIDES;136;1
AIDES;137;1
AIDES;138;1
AIDES;139;1
AIDES;140;1
AIDES;141;1
AIDES;142;1
AIDES;143;1
AIDES;144;1
AIDES;145;1
AIDES;146;1
AIDES;147;1
AIDES;148;1
AIDES;149;1
AIDES;150;1
AIDES;151;1
AIDES;152;1
AIDES;153;1
AIDES;154;1
AIDES;155;1
AIDES;156;1
AIDES;157;1
AIDES;158;1
AIDES;159;1
AIDES;160;1
AIDES;161;1
AIDES;162;1
AIDES;163;1
AIDES;164;1
AIDES;165;1
AIDES;166;1
AIDES;167;1
AIDES;168;1
AIDES;169;1
AIDES;170;1
AIDES;171;1
AIDES;172;1
AIDES;173;1
AIDES;174;1
AIDES;175;1
AIDES;176;1
AIDES;177;1
AIDES;178;1
AIDES;179;1
AIDES;180;1
AIDES;181;1
AIDES;182;1
AIDES;183;1
AIDES;184;1
AIDES;185;1
AIDES;186;1
AIDES;187;1
AIDES;188;1
AIDES;189;1
AIDES;190;1
AIDES;191;1
AIDES;192;1
AIDES;193;1
AIDES;194;1
AIDES;195;1
AIDES;196;1
AIDES;197;1
AIDES;198;1
AIDES;199;1
AIDES;200;1
AIDES;201;1
AIDES;202;1
AIDES;203;1
AIDES;204;1
AIDES;205;1
AIDES;206;1
AIDES;207;1
AIDES;208;1
AIDES;209;1
AIDES;210;1
AIDES;211;1
AIDES;212;1
AIDES;213;1
FEDERATION MORB DU BATIMENT ET DES T.P.;214;1
ASSOC FR DU GAZ NATUREL POUR VEHICULES;215;1
CONFEDER NAT CHARCUTERI FRANCE;216;1
CONFEDER NAT CHARCUTERI FRANCE;217;1
CONFEDER NAT CHARCUTERI FRANCE;218;1
CONFEDER NAT CHARCUTERI FRANCE;219;1
CONFEDER NAT CHARCUTERI FRANCE;220;1
CONFEDER NAT CHARCUTERI FRANCE;221;1
CONFEDER NAT CHARCUTERI FRANCE;222;1
CONFEDER NAT CHARCUTERI FRANCE;223;1
CONFEDER NAT CHARCUTERI FRANCE;224;1
CONFEDER NAT CHARCUTERI FRANCE;225;1
CONFEDER NAT CHARCUTERI FRANCE;226;1
CONFEDER NAT CHARCUTERI FRANCE;227;1
CONFEDER NAT CHARCUTERI FRANCE;228;1
CONFEDER NAT CHARCUTERI FRANCE;229;1
CONFEDER NAT CHARCUTERI FRANCE;230;1
CONFEDER NAT CHARCUTERI FRANCE;231;1
CONFEDER NAT CHARCUTERI FRANCE;232;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;233;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;234;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;235;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;236;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;237;1
FEDER DEPART SYNDIC EXPLOI AGRIC HERAULT;238;1
JEUNES AGRICULTEURS 68;239;1
JEUNES AGRICULTEURS 68;240;1
JEUNES AGRICULTEURS 68;241;1
JEUNES AGRICULTEURS 68;242;1
JEUNES AGRICULTEURS 68;243;1
JEUNES AGRICULTEURS 68;244;1
JEUNES AGRICULTEURS 68;245;1
JEUNES AGRICULTEURS 68;246;1
JEUNES AGRICULTEURS 68;247;1
JEUNES AGRICULTEURS 68;248;1
JEUNES AGRICULTEURS 68;249;1
JEUNES AGRICULTEURS 68;250;1
JEUNES AGRICULTEURS 68;251;1
JEUNES AGRICULTEURS 68;252;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;253;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;254;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;255;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;256;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;257;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;258;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;259;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;260;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;261;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;262;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;263;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;264;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;265;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;266;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;267;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;268;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;269;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;270;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;271;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;272;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;273;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;274;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;275;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;276;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;277;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;278;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;279;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;280;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;281;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;282;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;283;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;284;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;285;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;286;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;287;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;288;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;289;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;290;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;291;1
CHAMBRE SYNDICALE DES COURTIERS D ASSURANCES;292;1
FEDERATION BTP VOSGES;293;1
FEDERATION BTP VOSGES;294;1
FEDERATION BTP VOSGES;295;1
FEDERATION BTP VOSGES;296;1
FEDERATION BTP VOSGES;297;1
ORDRE NATIONAL DES MEDECINS;298;1
ORDRE NATIONAL DES MEDECINS;299;1
ORDRE NATIONAL DES MEDECINS;300;1
ORDRE NATIONAL DES MEDECINS;301;1
ORDRE NATIONAL DES MEDECINS;302;1
ORDRE NATIONAL DES MEDECINS;303;1
ORDRE NATIONAL DES MEDECINS;304;1
ORDRE NATIONAL DES MEDECINS;305;1
ORDRE NATIONAL DES MEDECINS;306;1
ORDRE NATIONAL DES MEDECINS;307;1
ORDRE NATIONAL DES MEDECINS;308;1
ORDRE NATIONAL DES MEDECINS;309;1
ORDRE NATIONAL DES MEDECINS;310;1
ORDRE NATIONAL DES MEDECINS;311;1
ORDRE NATIONAL DES MEDECINS;312;1
