annee,groupe,sanction,sexe,nombre,motif,type_sanction,source,conseil_discpline
1990,1,Avertissement,,1061,,,journal officiel du Sénat du 12 octobre 2000,
1990,1,Blâme,,1000,,,journal officiel du Sénat du 12 octobre 2000,
1990,2,Radiation du tableau d'avancement,,1,,,journal officiel du Sénat du 12 octobre 2000,
1990,2,Abaissement d'échelon,,104,,,journal officiel du Sénat du 12 octobre 2000,
1990,2,Déplacement d'office,,45,,,journal officiel du Sénat du 12 octobre 2000,
1990,3,Rétrogradation,,4,,,journal officiel du Sénat du 12 octobre 2000,
1990,4,Retraite d'office,,8,,,journal officiel du Sénat du 12 octobre 2000,
1990,4,Révocation ,,97,,,journal officiel du Sénat du 12 octobre 2000,
1990,3,ETF jusqu'à 6 mois,,71,,,journal officiel du Sénat du 12 octobre 2000,
1991,1,Avertissement ,,1015,,,journal officiel du Sénat du 12 octobre 2000,
1991,1,Blâme,,1224,,,journal officiel du Sénat du 12 octobre 2000,
1991,2,Radiation du tableau d'avancement,,1,,,journal officiel du Sénat du 12 octobre 2000,
1991,2,Abaissement d'échelon,,103,,,journal officiel du Sénat du 12 octobre 2000,
1991,2,ETF jusqu'à 15 jours,,71,,,journal officiel du Sénat du 12 octobre 2000,
1991,2,Déplacement d'office,,62,,,journal officiel du Sénat du 12 octobre 2000,
1991,3,Rétrogradation,,4,,,journal officiel du Sénat du 12 octobre 2000,
1991,3,ETF de 3 mois à 2 ans,,40,,,journal officiel du Sénat du 12 octobre 2000,
1991,4,Retraite d'office,,16,,,journal officiel du Sénat du 12 octobre 2000,
1991,4,Révocation ,,87,,,journal officiel du Sénat du 12 octobre 2000,
1992,1,Avertissement ,,976,,,journal officiel du Sénat du 12 octobre 2000,
1992,1,Blâme,,929,,,journal officiel du Sénat du 12 octobre 2000,
1992,2,Radiation du tableau d'avancement,,1,,,journal officiel du Sénat du 12 octobre 2000,
1992,2,Abaissement d'échelon,,50,,,journal officiel du Sénat du 12 octobre 2000,
1992,2,ETF jusqu'à 15 jours,,119,,,journal officiel du Sénat du 12 octobre 2000,
1992,2,Déplacement d'office,,58,,,journal officiel du Sénat du 12 octobre 2000,
1992,3,Rétrogradation,,8,,,journal officiel du Sénat du 12 octobre 2000,
1992,3,ETF de 3 mois à 2 ans,,80,,,journal officiel du Sénat du 12 octobre 2000,
1992,4,Retraite d'office,,20,,,journal officiel du Sénat du 12 octobre 2000,
1992,4,Révocation ,,95,,,journal officiel du Sénat du 12 octobre 2000,
1993,1,Avertissement ,,1029,,,journal officiel du Sénat du 12 octobre 2000,
1993,1,Blâme,,1184,,,journal officiel du Sénat du 12 octobre 2000,
1993,2,Radiation du tableau d'avancement,,0,,,journal officiel du Sénat du 12 octobre 2000,
1993,2,Abaissement d'échelon,,15,,,journal officiel du Sénat du 12 octobre 2000,
1993,2,ETF jusqu'à 15 jours,,133,,,journal officiel du Sénat du 12 octobre 2000,
1993,2,Déplacement d'office,,32,,,journal officiel du Sénat du 12 octobre 2000,
1993,3,Rétrogradation,,3,,,journal officiel du Sénat du 12 octobre 2000,
1993,3,ETF de 3 mois à 2 ans,,79,,,journal officiel du Sénat du 12 octobre 2000,
1993,4,Retraite d'office,,19,,,journal officiel du Sénat du 12 octobre 2000,
